2019年08月21日-22:16:09 [stderr] 10028 10027: 黑洞文件打开失败 
2019年08月21日-22:19:44 [stderr] 10182 10181: 修改主进程成功 
2019年08月21日-22:37:23 [stderr] 10777 10776: 修改主进程成功 
2019年08月21日-22:41:03 [stderr] 10998 10997: 修改主进程成功 
2019年08月21日-22:42:20 [stderr] 11058 1462: 修改主进程成功 
2019年08月21日-22:43:05 [stderr] 11119 11118: 修改主进程成功 
2019年08月21日-22:45:03 [stderr] 11188 11187: 修改主进程成功 
2019年08月21日-23:42:17 [stderr] 14478 14477: 修改主进程成功 
2019年08月21日-23:45:03 [stderr] 14641 14640: 修改主进程成功 
2019年08月21日-23:46:46 [stderr] 14723 14722: 修改主进程成功 
2019年08月21日-23:48:08 [stderr] 14797 14796: 修改主进程成功 
2019年08月21日-23:49:45 [stderr] 14870 14869: 修改主进程成功 
2019年08月21日-23:51:38 [stderr] 14946 14945: 修改主进程成功 
2019年08月21日-23:52:40 [stderr] 15008 1462: 修改主进程成功 
2019年08月21日-23:54:50 [stderr] 15093 15092: 修改主进程成功 
2019年08月22日-00:12:15 [stderr] 16460 16459: 修改主进程成功 
2019年08月22日-00:15:41 [stderr] 16661 16660: 修改主进程成功 
2019年08月22日-00:17:23 [stderr] 16734 1462: 修改主进程成功 
2019年08月22日-00:18:39 [stderr] 16782 16781: 修改主进程成功 




2019年08月22日-01:10:20 [stderr] 18589 8438: this is a test cch 5456446 12345.123450000
2019年08月22日-01:10:20 [stderr] 18589 8438: this is a test cch 12345.1
2019年08月22日-01:21:37 [stderr] 18987 8438: this is a test cch 12345.123450000
2019年08月22日-01:21:37 [stderr] 18987 8438: this is a test cch 12345.1
2019年08月22日-01:32:42 [stderr] 19501 8438: this is a test cch 12345.123450000
2019年08月22日-01:32:42 [stderr] 19501 8438: this is a test cch 12345.1
2019年08月22日-01:42:18 [stderr] 20074 20073: 修改主进程成功 
2019年08月22日-01:43:47 [stderr] 20152 1462: 修改主进程成功 
2019年08月22日-01:45:05 [stderr] 20201 1462: 修改主进程成功 
2019年08月22日-01:47:38 [stderr] 20310 1462: 修改主进程成功 
2019年08月22日-01:49:35 [stderr] 20393 1462: 修改主进程成功 
2019年08月22日-01:51:53 [stderr] 20476 1462: 修改主进程成功 
2019年08月22日-01:54:22 [stderr] 20576 1462: 修改主进程成功 
2019年08月22日-01:55:49 [stderr] 20634 1462: 修改主进程成功 
2019年08月22日-16:20:14 [stderr] 22647 1462: 修改主进程成功 
2019年08月22日-16:22:15 [stderr] 22669 1462: 修改主进程成功 
2019年08月22日-16:59:54 [stderr] 24673 1462: 修改主进程成功 
2019年08月22日-17:03:27 [stderr] 24910 1462: 修改主进程成功 
2019年08月22日-17:07:23 [stderr] 25175 1462: 修改主进程成功 
2019年08月22日-17:08:11 [stderr] 25185 1462: 修改主进程成功 
2019年08月22日-23:57:32 [stderr] 28975 28974: 修改主进程成功 
2019年08月23日-00:00:13 [stderr] 29180 29179: 修改主进程成功 
2019年08月23日-00:02:55 [stderr] 29339 29338: 修改主进程成功 
2019年08月23日-00:03:41 [notice] 29339 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:05:22 [stderr] 29420 29419: 修改主进程成功 
2019年08月23日-00:05:38 [notice] 29420 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:13:51 [stderr] 29948 29947: 修改主进程成功 
2019年08月23日-00:14:19 [notice] 29948 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:15:56 [notice] 29948 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:18:31 [stderr] 30090 30089: 修改主进程成功 
2019年08月23日-00:19:10 [stderr] 30146 30145: 修改主进程成功 
2019年08月23日-00:19:29 [notice] 30146 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:20:54 [stderr] 30232 30231: 修改主进程成功 
2019年08月23日-00:21:07 [notice] 30232 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:21:36 [notice] 30232 1462: 收到SIGHUP信号，__sigchld()启动
2019年08月23日-00:31:39 [stderr] 30338 1462: 修改主进程成功 
2019年08月23日-00:35:22 [stderr] 30457 1462: 修改主进程成功 
2019年09月04日-17:15:13 [stderr] 18734 18733: 修改主进程成功 
2019年09月04日-17:20:37 [stderr] 18906 18905: 修改主进程成功 
2019年09月04日-17:22:56 [error] 19030 17775: socket成功
2019年09月04日-17:22:56 [error] 19030 17775: bind失败
2019年09月04日-17:26:06 [error] 19222 17775: socket成功
2019年09月04日-17:26:06 [error] 19222 17775: bind失败
2019年09月04日-17:26:19 [error] 19270 17775: socket成功
2019年09月04日-17:26:19 [error] 19270 17775: bind失败，socket：4，port：80
2019年09月04日-17:26:47 [error] 19272 17775: socket成功
2019年09月04日-17:26:47 [error] 19272 17775: bind失败，socket：4，port：80
2019年09月04日-17:27:05 [error] 19275 17775: socket成功
2019年09月04日-17:27:05 [error] 19275 17775: bind失败，socket：4，port：433
2019年09月04日-17:30:28 [error] 19307 19306: socket成功
2019年09月04日-17:30:28 [error] 19307 19306: bind成功
2019年09月04日-17:30:28 [error] 19307 19306: listen成功
2019年09月04日-17:30:28 [error] 19307 19306: socket成功
2019年09月04日-17:30:28 [error] 19307 19306: bind成功
2019年09月04日-17:30:28 [error] 19307 19306: listen成功
2019年09月04日-17:30:28 [stderr] 19308 19307: 修改主进程成功 
2019年09月04日-17:35:26 [error] 19484 17775: socket成功
2019年09月04日-17:35:26 [error] 19484 17775: bind失败，socket：4，port：433
2019年09月04日-17:35:45 [debug] 19527 19526: socket成功
2019年09月04日-17:35:45 [debug] 19527 19526: bind成功
2019年09月04日-17:35:45 [debug] 19527 19526: listen成功
2019年09月04日-17:35:45 [debug] 19527 19526: socket成功
2019年09月04日-17:35:45 [debug] 19527 19526: bind成功
2019年09月04日-17:35:45 [debug] 19527 19526: listen成功
2019年09月04日-17:35:45 [stderr] 19528 19527: 修改主进程成功 
2019年09月04日-17:39:53 [debug] 19663 19662: socket成功
2019年09月04日-17:39:53 [error] 19663 19662: bind失败，socket：4，port：433
2019年09月04日-17:40:01 [debug] 19669 19668: socket成功
2019年09月04日-17:40:01 [error] 19669 19668: bind失败，socket：4，port：433
2019年09月04日-17:41:13 [debug] 19730 19729: socket成功
2019年09月04日-17:41:13 [debug] 19730 19729: bind成功
2019年09月04日-17:41:13 [debug] 19730 19729: listen成功
2019年09月04日-17:41:13 [debug] 19730 19729: socket成功
2019年09月04日-17:41:13 [debug] 19730 19729: bind成功
2019年09月04日-17:41:13 [debug] 19730 19729: listen成功
2019年09月04日-17:41:13 [stderr] 19731 19730: 修改主进程成功 
2019年09月04日-17:41:43 [debug] 19753 19752: socket成功
2019年09月04日-17:41:43 [error] 19753 19752: bind失败，socket：4，port：433
2019年09月04日-17:42:31 [debug] 19764 19763: socket成功
2019年09月04日-17:42:31 [debug] 19764 19763: bind成功
2019年09月04日-17:42:31 [debug] 19764 19763: listen成功
2019年09月04日-17:42:31 [debug] 19764 19763: socket成功
2019年09月04日-17:42:31 [debug] 19764 19763: bind成功
2019年09月04日-17:42:31 [debug] 19764 19763: listen成功
2019年09月04日-17:42:31 [stderr] 19765 3880: 修改主进程成功 
2019年09月04日-17:44:50 [debug] 19849 19848: socket成功
2019年09月04日-17:44:50 [debug] 19849 19848: bind成功，socket：4，port：433
2019年09月04日-17:44:50 [debug] 19849 19848: listen成功
2019年09月04日-17:44:50 [debug] 19849 19848: socket成功
2019年09月04日-17:44:50 [debug] 19849 19848: bind成功，socket：5，port：43310000
2019年09月04日-17:44:50 [debug] 19849 19848: listen成功
2019年09月04日-17:44:50 [stderr] 19850 19849: 修改主进程成功 
2019年09月04日-17:46:31 [debug] 19919 19918: socket成功
2019年09月04日-17:46:31 [debug] 19919 19918: bind成功，socket：4，port：433
2019年09月04日-17:46:31 [debug] 19919 19918: listen成功
2019年09月04日-17:46:31 [debug] 19919 19918: socket成功
2019年09月04日-17:46:31 [debug] 19919 19918: bind成功，socket：5，port：10000
2019年09月04日-17:46:31 [debug] 19919 19918: listen成功
2019年09月04日-17:46:31 [stderr] 19920 19919: 修改主进程成功 
2019年09月04日-17:49:29 [debug] 20011 20010: socket成功
2019年09月04日-17:49:29 [debug] 20011 20010: bind成功，socket：4，port：433
2019年09月04日-17:49:29 [debug] 20011 20010: listen成功
2019年09月04日-17:49:29 [debug] 20011 20010: socket成功
2019年09月04日-17:49:29 [debug] 20011 20010: bind成功，socket：5，port：10000
2019年09月04日-17:49:29 [debug] 20011 20010: listen成功
2019年09月04日-17:49:29 [stderr] 20012 20011: 修改主进程成功 
2019年09月04日-17:49:44 [debug] 20023 20022: socket成功
2019年09月04日-17:49:44 [error] 20023 20022: bind失败，socket：4，port：433
2019年09月04日-17:50:32 [debug] 20112 20111: socket成功
2019年09月04日-17:50:32 [error] 20112 20111: bind失败，socket：4，port：433，端口已被使用
2019年09月04日-17:52:18 [debug] 20158 20157: socket成功
2019年09月04日-17:52:18 [debug] 20158 20157: bind成功，socket：4，port：433
2019年09月04日-17:52:18 [debug] 20158 20157: listen成功
2019年09月04日-17:52:18 [debug] 20158 20157: socket成功
